OID_,OBJECTID,UTMX,UTMY,LongitudeI,LatitudeI
19386,19387,658903.9167,4768302.428,-79.048874,43.050784
3644,3645,658883.3531,4768302.984,-79.049126,43.050793
18854,18855,658920.8525,4768303.818,-79.048666,43.050793
6974,6975,658713.6471,4768303.953,-79.051208,43.050837
17753,17754,658191.6505,4768307.345,-79.057613,43.050977
7561,7562,658206.2469,4768307.83,-79.057434,43.050978
3318,3319,658198.9141,4768314.312,-79.057522,43.051038
7919,7920,658951.216,4768317.142,-79.048289,43.050906
1194,1195,658712.7084,4768319.338,-79.051215,43.050976
8771,8772,658541.03,4768319.346,-79.053322,43.051012
17504,17505,658559.1805,4768319.551,-79.053099,43.05101
24033,24034,658359.0689,4768321.3,-79.055555,43.051068
7014,7015,658210.1497,4768322.261,-79.057382,43.051107
17248,17249,658172.7229,4768324.489,-79.05784,43.051135
1619,1620,658682.6312,4768324.755,-79.051583,43.051031
23403,23404,658373.5481,4768325.274,-79.055376,43.0511
24809,24810,658934.7986,4768326.428,-79.048488,43.050993
22998,22999,658700.7139,4768327.5,-79.05136,43.051052
18172,18173,658175.4751,4768330.506,-79.057805,43.051189
18819,18820,658525.6091,4768331.489,-79.053508,43.051125
3905,3906,658675.8363,4768332.168,-79.051664,43.051099
14041,14042,658343.9809,4768334.873,-79.055736,43.051193
3243,3244,658668.1941,4768337.046,-79.051757,43.051145
12967,12968,658534.4175,4768338.941,-79.053398,43.05119
14329,14330,658687.5884,4768339.083,-79.051518,43.051159
13706,13707,658511.2684,4768342.553,-79.053681,43.051227
2117,2118,658355.019,4768343.069,-79.055598,43.051264
17096,17097,658329.9053,4768347.476,-79.055905,43.051309
8839,8840,658498.5193,4768352.697,-79.053834,43.051321
2794,2795,658516.3715,4768353.744,-79.053615,43.051327
15550,15551,658928.4229,4768356.783,-79.048558,43.051268
4047,4048,658338.2581,4768357.163,-79.0558,43.051395
10811,10812,658316.7376,4768360.357,-79.056063,43.051428
8336,8337,658688.4285,4768361.255,-79.051501,43.051358
4601,4602,658654.8031,4768364.834,-79.051913,43.051398
5304,5305,658482.6737,4768364.96,-79.054025,43.051435
12549,12550,658501.2819,4768366.866,-79.053796,43.051448
14658,14659,658326.4933,4768367.419,-79.055941,43.051489
3523,3524,658306.6306,4768368.055,-79.056185,43.051499
7784,7785,658677.5678,4768370.729,-79.051632,43.051446
12809,12810,658467.5958,4768375.413,-79.054207,43.051532
21759,21760,658638.7811,4768375.823,-79.052107,43.0515
7459,7460,658105.9376,4768378.336,-79.058645,43.051634
15939,15940,658291.5922,4768381.143,-79.056366,43.05162
6475,6476,658311.2667,4768381.269,-79.056124,43.051617
3353,3354,658626.9625,4768385.523,-79.052249,43.05159
5738,5739,658711.4626,4768386.687,-79.051211,43.051582
657,658,658932.9841,4768387.364,-79.048493,43.051542
21232,21233,658917.6444,4768391.875,-79.04868,43.051586
12517,12518,658275.7835,4768396.574,-79.056555,43.051762
2762,2763,658835.161,4768399.411,-79.04969,43.051671
22052,22053,658287.7582,4768401.884,-79.056407,43.051808
1381,1382,658927.8315,4768403.108,-79.048552,43.051685
13164,13165,658266.4589,4768404.541,-79.056667,43.051836
12955,12956,658709.3477,4768405.751,-79.051232,43.051755
11161,11162,658430.9936,4768405.774,-79.054648,43.051813
19149,19150,658802.9023,4768408.198,-79.050083,43.051757
24892,24893,658913.4637,4768410.128,-79.048726,43.051751
5984,5985,658778.8953,4768413.218,-79.050376,43.051807
10911,10912,658274.7909,4768415.137,-79.056562,43.05193
7061,7062,658613.1428,4768416.001,-79.05241,43.051867
6168,6169,658418.8854,4768416.844,-79.054793,43.051915
23607,23608,658566.9606,4768418.523,-79.052976,43.051899
23980,23981,658247.8097,4768421.111,-79.056892,43.051989
17321,17322,658264.9937,4768423.464,-79.05668,43.052007
4931,4932,658601.0683,4768424.094,-79.052556,43.051942
4113,4114,658785.972,4768425.889,-79.050286,43.05192
14324,14325,658920.9451,4768425.98,-79.04863,43.051892
17911,17912,658408.5592,4768426.621,-79.054917,43.052005
9254,9255,658623.4332,4768426.754,-79.05228,43.051961
11326,11327,658552.5047,4768428.681,-79.05315,43.051994
10298,10299,658908.842,4768429.071,-79.048777,43.051923
1527,1528,658775.2258,4768434.641,-79.050415,43.052001
1704,1705,658566.3994,4768434.769,-79.052978,43.052046
3548,3549,658229.4966,4768436.964,-79.057112,43.052136
14301,14302,658396.1362,4768438.352,-79.055066,43.052113
18884,18885,658247.1239,4768438.697,-79.056895,43.052147
18580,18581,658918.6174,4768439.406,-79.048654,43.052014
11284,11285,658616.6775,4768442.195,-79.052359,43.052102
5787,5788,658638.1103,4768442.831,-79.052096,43.052103
5018,5019,658902.1534,4768445.21,-79.048855,43.052069
15146,15147,658628.5888,4768454.273,-79.052209,43.052208
8275,8276,658376.8534,4768454.95,-79.055298,43.052267
2805,2806,658649.2249,4768455.443,-79.051956,43.052214
17063,17064,658544.793,4768458.323,-79.053236,43.052262
20288,20289,658894.8643,4768460.934,-79.04894,43.052212
6015,6016,658654.1389,4768461.513,-79.051894,43.052268
15682,15683,658365.0436,4768465.459,-79.05544,43.052364
25861,25862,658893.3575,4768466.609,-79.048956,43.052264
7709,7710,658641.472,4768468.583,-79.052047,43.052334
9259,9260,658662.0013,4768470.185,-79.051795,43.052344
12849,12850,658352.0519,4768477.106,-79.055596,43.052471
24390,24391,658651.3923,4768479.034,-79.051922,43.052426
6707,6708,658544.1206,4768479.609,-79.053239,43.052454
8255,8256,658887.901,4768481.846,-79.049019,43.052402
851,852,658086.6288,4768482.819,-79.058852,43.052578
9905,9906,658900.1399,4768484.19,-79.048868,43.052421
21740,21741,658675.3592,4768484.661,-79.051627,43.052472
2626,2627,659098.6664,4768485.634,-79.046432,43.052392
10027,10028,658662.7395,4768491.364,-79.05178,43.052535
22921,22922,658333.8498,4768493.076,-79.055815,43.052619
454,455,658559.3442,4768496.737,-79.053047,43.052605
13621,13622,658688.2512,4768497.9,-79.051465,43.052588
11750,11751,658879.9059,4768500.98,-79.049112,43.052576
23085,23086,658824.5926,4768504.04,-79.04979,43.052615
23352,23353,658674.9948,4768504.047,-79.051626,43.052646
8916,8917,658570.5488,4768509.568,-79.052906,43.052718
20824,20825,658700.3005,4768511.062,-79.051313,43.052704
8375,8376,658313.8853,4768511.383,-79.056055,43.052788
15025,15026,658688.9788,4768521.821,-79.051449,43.052803
11759,11760,658855.3757,4768522.057,-79.049407,43.052771
17706,17707,658103.5918,4768522.156,-79.058633,43.052928
14606,14607,658711.5737,4768524.185,-79.051171,43.05282
7129,7130,658584.5528,4768524.281,-79.05273,43.052847
15944,15945,658832.2005,4768524.867,-79.04969,43.052801
20926,20927,658111.6688,4768529.908,-79.058531,43.052997
16074,16075,658701.0653,4768534.36,-79.051297,43.052914
7295,7296,658594.446,4768536.004,-79.052605,43.052951
16235,16236,658726.7484,4768539.933,-79.05098,43.052958
4682,4683,658877.1931,4768542.524,-79.049133,43.05295
5207,5208,658318.117,4768546.009,-79.055993,43.053098
5856,5857,658323.1631,4768550.005,-79.05593,43.053133
22168,22169,658610.0156,4768552.111,-79.052409,43.053092
786,787,659022.1863,4768554.265,-79.04735,43.053026
23586,23587,658853.489,4768555.031,-79.049421,43.053068
7558,7559,659008.2137,4768555.577,-79.047522,43.05304
20671,20672,658151.5751,4768556.073,-79.058034,43.053224
5888,5889,658867.5665,4768558.707,-79.049247,43.053098
2521,2522,659030.0583,4768561.743,-79.047252,43.053091
10364,10365,659034.8615,4768563.411,-79.047192,43.053105
7242,7243,658334.7894,4768565.373,-79.055783,43.053269
16391,16392,659100.23,4768565.661,-79.046389,43.053112
11177,11178,658729.7461,4768566.347,-79.050936,43.053196
1923,1924,658343.2988,4768569.687,-79.055677,43.053306
20774,20775,658845.1642,4768570.293,-79.049518,43.053207
10862,10863,658345.8983,4768572.36,-79.055645,43.05333
24515,24516,658860.7067,4768572.427,-79.049327,43.053223
1354,1355,658999.032,4768573.861,-79.047629,43.053207
25864,25865,658345.7126,4768574.811,-79.055646,43.053352
12101,12102,658347.9723,4768576.061,-79.055618,43.053363
24103,24104,659026.8213,4768578.876,-79.047287,43.053246
20302,20303,658349.1236,4768579.961,-79.055603,43.053398
1427,1428,658351.8127,4768580.656,-79.05557,43.053403
11325,11326,658997.064,4768580.749,-79.047651,43.053269
6373,6374,658838.0973,4768582.938,-79.049601,43.053322
13268,13269,659015.5807,4768583.542,-79.047423,43.053291
5016,5017,658355.6006,4768583.887,-79.055522,43.053432
131,132,659008.7351,4768585.655,-79.047507,43.053311
12913,12914,658359.2399,4768587.229,-79.055477,43.053461
11949,11950,658180.9064,4768589.036,-79.057665,43.053514
19919,19920,658361.2825,4768589.494,-79.055451,43.053481
1342,1343,658770.3952,4768589.703,-79.05043,43.053397
15589,15590,658754.1791,4768592.781,-79.050629,43.053428
2476,2477,658366.2768,4768593.697,-79.055389,43.053518
23813,23814,658366.9824,4768595.591,-79.055379,43.053535
23786,23787,658991.4136,4768598.712,-79.047715,43.053432
13967,13968,658369.4619,4768599,-79.055348,43.053565
1090,1091,659001.4535,4768599.103,-79.047592,43.053434
11893,11894,658372.0986,4768600.782,-79.055315,43.05358
8843,8844,658844.6032,4768601.293,-79.049516,43.053486
1567,1568,658783.634,4768604.561,-79.050264,43.053528
15350,15351,658765.9626,4768604.978,-79.05048,43.053536
12223,12224,658998.9225,4768607.457,-79.047621,43.053509
3373,3374,658987.9943,4768608.097,-79.047755,43.053517
16475,16476,658791.3642,4768614.593,-79.050166,43.053617
24004,24005,658672.4192,4768619.001,-79.051624,43.053681
10618,10619,658388.018,4768622.528,-79.055114,43.053773
15398,15399,658802.3595,4768626.146,-79.050028,43.053719
14998,14999,658815.5037,4768626.866,-79.049866,43.053722
25530,25531,658392.5699,4768627.688,-79.055056,43.053818
12699,12700,658992.4893,4768630.92,-79.047693,43.053722
21343,21344,658982.6203,4768631.757,-79.047814,43.053731
23883,23884,658681.1757,4768632.06,-79.051513,43.053797
3011,3012,658396.1075,4768632.265,-79.055012,43.053858
652,653,658790.5725,4768633.116,-79.05017,43.053784
10070,10071,658829.0892,4768636.406,-79.049697,43.053805
7848,7849,658981.0677,4768640.139,-79.047831,43.053807
11223,11224,658404.5701,4768640.691,-79.054905,43.053933
11318,11319,658799.1784,4768642.369,-79.050062,43.053865
1201,1202,658990.6753,4768643.089,-79.047712,43.053832
13441,13442,658229.9259,4768643.486,-79.057048,43.053994
15920,15921,658326.6003,4768645.709,-79.055861,43.053994
13927,13928,658696.0682,4768647.737,-79.051326,43.053935
432,433,658324.4303,4768648.146,-79.055887,43.054016
20412,20413,658412.4621,4768649.304,-79.054806,43.054008
22751,22752,658322.1872,4768649.907,-79.055914,43.054033
10403,10404,658677.4998,4768650.297,-79.051553,43.053962
12571,12572,658821.8084,4768651.479,-79.049782,43.053942
5982,5983,658989.063,4768652.884,-79.047729,43.05392
12938,12939,658809.4945,4768653.387,-79.049932,43.053962
16620,16621,658417.6334,4768654.928,-79.054741,43.054058
17242,17243,658317.1548,4768655.002,-79.055974,43.05408
4711,4712,658242.9523,4768658.47,-79.056884,43.054126
22954,22955,658394.0415,4768659.667,-79.055029,43.054106
10342,10343,658707.5696,4768661.384,-79.051181,43.054056
